Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Services, value added (% of GDP);NV.SRV.TOTL.ZS;43.51130117;42.92050584;42.51464366;42.66686304;44.03417542;44.58952266;44.27259037;43.86951329;43.46573098;42.79061102;42.59991539;40.76009372;42.04523539;35.34823632;32.64270009;38.24473785;37.42562511;41.42813554;48.33396849;48.63031768;55.12954715;52.56013873;46.45943148;48.66025074;50.695513;53.86003889;57.01355471;56.06012255;58.01304286;56.09065931;53.19813553;53.26108366;52.66093056;48.69341812;48.20514946;49.90410534;48.80972556;52.47647376;57.16843077;53.44095241;51.41664426;52.32109975;47.69838375;48.77049562;47.91809283;47.9812176;49.1253327;47.60776768;48.6423388;51.48071819;51.13731452;48.72368758;50.42911628;47.64191166;49.35569024;55.18195746;52.52237871;50.6626623;48.58771671;50.12337526;49.19528089;47.32897704;46.93987079
Services, value added (current LCU);NV.SRV.TOTL.CN;1.38403E+11;1.4393E+11;1.51156E+11;1.59294E+11;1.7945E+11;2.09324E+11;2.27711E+11;2.51074E+11;2.8392E+11;3.15811E+11;3.54197E+11;4.2398E+11;5.46325E+11;6.59401E+11;1.02005E+12;1.3498E+12;1.79653E+12;2.35671E+12;2.65675E+12;3.09793E+12;3.72344E+12;4.22723E+12;4.94172E+12;6.63698E+12;7.5605E+12;8.51422E+12;9.1257E+12;1.08865E+13;1.27052E+13;1.52747E+13;2.02081E+13;2.86467E+13;3.78428E+13;5.16799E+13;6.73578E+13;9.84958E+13;1.31995E+14;1.66161E+14;2.02118E+14;2.53832E+14;3.22933E+14;3.86291E+14;4.88247E+14;6.13596E+14;7.84435E+14;9.73974E+14;1.19974E+15;1.54597E+15;1.89108E+15;2.11455E+15;2.57518E+15;3.35999E+15;3.98172E+15;5.06672E+15;6.0484E+15;6.67916E+15;7.56789E+15;8.47912E+15;1.0451E+16;1.37158E+16;2.00674E+16;3.16037E+16;4.72343E+16
Industry (including construction), value added (constant 2015 US$);NV.IND.TOTL.KD;26572177853;31052767741;34361992213;37201638140;40571067139;47429151522;53172970945;59622479985;69224250272;81985723587;92031883238;1.05748E+11;1.19609E+11;1.34126E+11;1.35589E+11;1.23212E+11;1.47615E+11;1.34904E+11;1.06731E+11;83746569792;44292106740;43489753673;71278897653;76489120900;64647297509;64044629933;59698264750;65015739484;63810811741;66921284542;79493550144;92805485426;93731662754;96014188951;92839794081;92846905685;99041445664;97273313530;96974271667;97537912570;1.06732E+11;1.06673E+11;1.15576E+11;1.2753E+11;1.31105E+11;1.34922E+11;1.40101E+11;1.47283E+11;1.51472E+11;1.50216E+11;1.59503E+11;1.62435E+11;1.40648E+11;1.32605E+11;1.37844E+11;1.31341E+11;1.53986E+11;1.57545E+11;1.43147E+11;1.29236E+11;1.39315E+11;1.43784E+11;1.50128E+11
Manufacturing, value added (constant LCU);NV.IND.MANF.KN;3.50788E+13;3.78851E+13;4.40954E+13;4.83049E+13;5.10332E+13;5.70356E+13;6.57923E+13;7.4575E+13;8.50987E+13;9.54404E+13;1.03729E+14;1.20463E+14;1.40783E+14;1.66611E+14;1.93765E+14;2.09642E+14;2.72602E+14;2.86165E+14;2.56257E+14;2.23231E+14;2.50697E+14;2.70835E+14;2.58986E+14;2.89803E+14;3.25402E+14;3.18542E+14;2.983E+14;3.31456E+14;3.38264E+14;3.50271E+14;4.48782E+14;5.4387E+14;5.38915E+14;5.10696E+14;5.27687E+14;5.27624E+14;6.24494E+14;6.97509E+14;6.76538E+14;7.45343E+14;8.34345E+14;9.48535E+14;1.06751E+15;1.17962E+15;1.22798E+15;1.35697E+15;1.46454E+15;1.49348E+15;1.54001E+15;1.66485E+15;1.83964E+15;1.94353E+15;1.8601E+15;1.758E+15;1.88075E+15;1.72746E+15;1.86523E+15;1.96036E+15;1.83129E+15;1.90387E+15;2.04086E+15;2.1076E+15;null
Manufacturing, value added (current US$);NV.IND.MANF.CD;358711042.8;394439234.3;467324745;511627702.5;570221936.6;670260872.8;768870681.4;893204787.9;1034688426;1220475022;1363387788;1636351333;2007924365;2975079176;4037304137;4718332087;6407748709;7411482500;6883249661;6748073144;9274584281;10623135560;12776390638;14170585227;15362889109;15992972597;19152406290;13724980717;13918161236;13152680243;18113443361;null;null;8646377282;11144417049;14794876764;19873322790;19862924355;18626556326;18967137808;18235210864;21757334500;19418372536;22714082876;29841445317;34061780418;40034063175;45161372751;53473642530;55274579021;62233038191;86357477680;1.05475E+11;77512096696;71749532954;54907676228;59282201852;66923336696;49583250199;51186249016;50678851951;76182750031;null
Agriculture, forestry, and fishing, value added (% of GDP);NV.AGR.TOTL.ZS;25.90060153;24.90256843;23.82749641;22.25721814;20.7660665;18.59561661;17.44181878;16.51588614;15.85361437;14.49739962;12.99091055;12.71270252;11.95440054;9.868775695;6.932824856;6.672281016;6.487048744;5.665368244;7.462283232;8.571918275;11.06046358;13.69414825;12.77417741;11.05712918;12.30788564;12.77052115;15.22802945;16.30278432;15.38501438;15.57681923;12.49086056;12.01424155;12.05433007;10.39837071;10.55156234;12.61023614;10.34647723;9.8126995;11.55505789;9.914986215;9.068419327;8.310842002;7.825546897;7.451094561;6.889578469;6.501382209;7.118211241;7.185568231;6.122772591;6.924489615;6.499390726;4.642116205;6.796937167;8.774909773;9.378424157;10.09160141;9.784420381;9.827058776;11.2190019;13.32486917;12.21299811;12.393096;12.46061745
Agriculture, forestry, and fishing, value added (current LCU);NV.AGR.TOTL.CN;82385780760;83508620088;84715722226;83095893321;84626561102;87296561451;89709876457;94523771524;1.03557E+11;1.06996E+11;1.08013E+11;1.32235E+11;1.55332E+11;1.84096E+11;2.16643E+11;2.3549E+11;3.11397E+11;3.22284E+11;4.10176E+11;5.46063E+11;7.47021E+11;1.10137E+12;1.35874E+12;1.50813E+12;1.83554E+12;2.01877E+12;2.43743E+12;3.1659E+12;3.36941E+12;4.24191E+12;4.74485E+12;6.46191E+12;8.66239E+12;1.10361E+13;1.47439E+13;2.48888E+13;2.79797E+13;3.10708E+13;4.08527E+13;4.70938E+13;5.6956E+13;6.13596E+13;8.01033E+13;9.37444E+13;1.12785E+14;1.31972E+14;1.73842E+14;2.33337E+14;2.38036E+14;2.84421E+14;3.27297E+14;3.2012E+14;5.36664E+14;9.33211E+14;1.1493E+15;1.22148E+15;1.40983E+15;1.6447E+15;2.41316E+15;3.64622E+15;4.98185E+15;8.27543E+15;1.25388E+16
External balance on goods and services (% of GDP);NE.RSB.GNFS.ZS;-3.53938475;-2.130948644;0.818711413;2.871097811;0.067915085;-0.325485728;-1.318194161;-2.362361971;-3.03356861;-3.021973887;-2.735924606;1.78241649;1.441465647;12.78226513;23.3371737;5.355848432;8.974928752;1.702528658;1.2545089;10.68684506;-15.01062234;-15.57365933;-3.882976679;-9.662465185;-5.307259799;-5.405200378;-6.681622464;0.429953284;-7.013658025;-8.280486442;-10.5230841;-16.54553108;-14.06874591;4.779358969;14.96324843;8.208236493;5.168961325;1.906303618;-3.861457822;3.698632257;1.676867672;-1.928925767;0.655117755;-1.424160113;-0.780000815;6.22114311;6.570711787;7.799917888;4.92485213;1.723398051;5.028662829;8.647211461;0.861253718;3.279095564;0.309924637;-1.980919647;1.935569077;0.72650576;2.050603094;-3.786599943;-4.96094673;1.304629927;1.920818213
Imports of goods and services (% of GDP);NE.IMP.GNFS.ZS;17.38846321;15.86309608;13.67864427;12.45990773;16.33036736;16.47576065;17.61258652;19.65890018;20.5127542;21.05005853;21.20146958;21.32280651;21.50599211;20.6578109;24.0337572;35.3798875;28.23007619;29.09277485;22.22002837;16.05949086;28.7466481;27.94338273;20.97324678;24.19628935;16.6206987;14.28879576;10.41323818;8.727449927;14.29881843;18.10775607;23.8018259;30.36985136;27.23333658;20.63075268;13.32294398;13.46800421;15.02616891;15.37162725;16.54483873;15.59339094;19.7901899;21.23224612;23.7587844;26.05163294;26.04692907;24.10967608;23.29832346;21.04369452;21.65227532;20.98809109;19.37099045;16.28610167;21.61404648;21.90381118;22.52074775;20.70175415;19.22613892;22.0091825;28.16714864;27.27046708;24.38555566;21.53460206;17.87535237
Imports of goods and services (current LCU);NE.IMP.GNFS.CN;55309994095;53195527520;48632731226;46518264651;66550053257;77344961561;90588199584;1.12512E+11;1.3399E+11;1.55358E+11;1.7628E+11;2.21796E+11;2.79443E+11;3.85359E+11;7.51028E+11;1.24869E+12;1.35512E+12;1.65499E+12;1.22136E+12;1.02305E+12;1.94154E+12;2.24739E+12;2.23085E+12;3.30023E+12;2.47874E+12;2.25878E+12;1.66676E+12;1.69482E+12;3.13153E+12;4.93114E+12;9.04149E+12;1.63346E+13;1.95702E+13;2.18961E+13;1.86164E+13;2.65818E+13;4.06349E+13;4.86725E+13;5.84939E+13;7.40648E+13;1.24296E+14;1.56759E+14;2.43198E+14;3.27763E+14;4.26397E+14;4.89404E+14;5.68994E+14;6.83353E+14;8.41781E+14;8.62079E+14;9.75487E+14;1.12309E+15;1.70658E+15;2.32947E+15;2.75985E+15;2.50572E+15;2.77027E+15;3.68355E+15;6.05863E+15;7.46229E+15;9.9472E+15;1.43796E+16;1.79875E+16
Changes in inventories (constant LCU);NE.GDI.STKB.KN;9.71062E+13;9.8896E+13;1.08144E+14;1.02296E+14;1.36311E+14;1.48644E+14;1.87855E+14;1.99308E+14;2.71061E+14;2.95752E+14;3.05523E+14;2.52639E+14;4.06915E+14;3.76023E+14;7.35087E+14;9.85651E+14;1.1751E+15;1.40761E+15;1.01337E+15;6.34455E+14;8.21346E+14;6.98759E+14;5.49281E+14;6.66709E+14;3.89279E+14;4.05803E+14;4.05314E+14;4.22439E+14;2.05492E+14;3.10856E+14;4.88061E+14;5.14346E+14;4.53564E+14;2.21902E+14;2.44407E+13;2.47196E+14;3.33309E+14;2.51173E+14;2.52677E+14;2.51325E+14;2.28912E+14;1.75563E+14;3.36554E+14;5.3443E+14;5.33278E+14;4.28004E+14;5.30512E+14;5.79436E+14;6.05349E+14;6.526E+14;8.15852E+14;6.36451E+14;1.48031E+15;1.44904E+15;1.39731E+15;-8.96768E+13;1.00476E+15;1.30097E+15;1.5122E+15;null;null;null;null
Gross fixed capital formation (constant LCU);NE.GDI.FTOT.KN;3.09021E+14;3.41791E+14;3.14739E+14;3.70853E+14;3.99128E+14;5.4807E+14;5.50084E+14;6.66339E+14;7.56855E+14;8.16868E+14;9.41186E+14;1.10589E+15;1.29633E+15;1.48144E+15;1.77998E+15;2.4282E+15;3.43116E+15;2.92711E+15;2.72251E+15;1.91832E+15;1.96589E+15;1.7357E+15;1.89016E+15;2.59535E+15;2.31607E+15;1.94347E+15;1.82867E+15;1.75631E+15;1.32571E+15;1.42244E+15;1.4887E+15;2.26976E+15;2.16255E+15;1.8619E+15;1.6401E+15;1.53086E+15;1.92227E+15;2.06365E+15;2.09582E+15;2.20292E+15;2.38895E+15;2.97666E+15;3.17536E+15;3.37768E+15;3.64445E+15;3.79037E+15;3.72767E+15;4.27436E+15;4.78151E+15;4.84475E+15;5.00442E+15;5.23575E+15;3.98264E+15;3.52199E+15;3.77492E+15;3.24184E+15;3.18735E+15;3.16994E+15;2.68263E+15;2.49364E+15;2.574E+15;2.57435E+15;2.6745E+15
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;1264652298;1213638196;1128106845;1180374163;1462215023;1938737528;1988701160;2601701535;2949242905;3535763426;4041435835;4772769673;6331885767;9264972656;12922451137;21852222153;33562286095;39601681125;36858479959;28115475696;34840744932;33772260005;38979307273;61271543947;63994354630;59241722378;62665195096;35191342254;30270633961;29715907931;33678591673;null;null;17738550225;18653173832;23804840703;37884517918;37194872658;35992568637;36254211815;34308181591;45421828213;42763026208;50144771893;59366101402;64668319319;72558720496;99163877346;1.31629E+11;1.28479E+11;1.33156E+11;1.81915E+11;1.93558E+11;1.35245E+11;1.31535E+11;1.03543E+11;1.01303E+11;1.07087E+11;72347190602;65864301637;68275109727;96410511956;1.12749E+11
Exports of goods and services (constant LCU);NE.EXP.GNFS.KN;6.48478E+14;7.2708E+14;8.22924E+14;9.06374E+14;1.01892E+15;1.18589E+15;1.334E+15;1.55034E+15;1.77092E+15;2.0953E+15;2.36127E+15;2.76762E+15;3.16527E+15;3.52844E+15;3.46388E+15;3.10981E+15;3.44799E+15;3.17733E+15;2.31259E+15;1.80202E+15;6.10802E+14;5.4555E+14;1.05473E+15;1.2856E+15;1.02032E+15;9.24128E+14;7.73394E+14;1.12887E+15;1.28717E+15;1.39692E+15;1.6848E+15;1.9655E+15;1.99461E+15;2.17582E+15;2.20603E+15;2.00845E+15;2.02244E+15;1.91143E+15;1.95626E+15;1.90714E+15;2.06219E+15;1.93836E+15;2.00175E+15;2.28842E+15;2.31482E+15;2.36206E+15;2.45557E+15;2.45109E+15;2.37691E+15;2.36756E+15;2.54503E+15;2.53143E+15;2.00004E+15;1.95116E+15;2.17402E+15;2.39295E+15;3.04917E+15;3.06457E+15;2.93036E+15;2.42375E+15;2.11281E+15;2.22219E+15;2.38343E+15
Exports of goods and services (current US$);NE.EXP.GNFS.CD;581541415.7;607915176.1;680443017;755608234;882202283.7;1000884205;1106379247;1306819825;1507260404;1756492439;2026823483;3172763684;3936283736;9056140484;21889677077;21091425211;25319975896;24821052417;18308804923;24176515151;12961626484;12431487009;21524982663;22725836920;18359078550;16006784597;7802605539;12271835670;8964962592;11841502482;16573631050;null;null;16197325831;20321213941;20900063457;24315730858;19682874298;13986840980;21963669399;23526115003;24491811634;31402849783;37814191933;48018138115;68684788609;79540915796;1.00918E+11;1.09587E+11;94569965269;1.18779E+11;1.56116E+11;1.44749E+11;1.24095E+11;1.05108E+11;76420864790;96911018309;1.10639E+11;99084217971;66611879131;46567680771;82014975831;76916925720
Gross national expenditure (current LCU);NE.DAB.TOTL.CN;3.73777E+11;3.87262E+11;4.00489E+11;3.96812E+11;4.46091E+11;5.18E+11;5.79114E+11;6.44966E+11;7.43895E+11;8.47437E+11;9.62442E+11;1.13737E+12;1.43146E+12;1.80607E+12;2.77661E+12;3.90966E+12;5.15516E+12;6.30911E+12;6.19339E+12;6.19111E+12;8.54847E+12;1.01027E+13;1.13955E+13;1.56938E+13;1.6968E+13;1.69454E+13;1.7475E+13;2.00731E+13;2.34869E+13;2.90213E+13;4.24476E+13;6.17764E+13;8.13278E+13;1.03007E+14;1.24391E+14;1.86444E+14;2.63773E+14;3.15168E+14;3.70633E+14;4.58022E+14;6.14E+14;7.26082E+14;9.96649E+14;1.23255E+15;1.63561E+15;1.86746E+15;2.26031E+15;2.94307E+15;3.63388E+15;3.96683E+15;4.73311E+15;6.30919E+15;7.69706E+15;1.00783E+16;1.19004E+16;1.22216E+16;1.38222E+16;1.61967E+16;2.05777E+16;null;null;null;null
Final consumption expenditure (constant LCU);NE.CON.TOTL.KN;7.71431E+14;7.70355E+14;7.87332E+14;8.05734E+14;8.11136E+14;8.91805E+14;9.81093E+14;1.09172E+15;1.12934E+15;1.25119E+15;1.4028E+15;1.67377E+15;1.88154E+15;2.08334E+15;2.84858E+15;3.623E+15;3.78032E+15;3.88631E+15;3.96018E+15;3.91902E+15;3.66323E+15;3.7158E+15;3.8597E+15;4.23675E+15;4.30736E+15;4.42076E+15;3.8332E+15;3.58977E+15;3.6048E+15;3.58298E+15;4.19286E+15;4.56087E+15;4.71549E+15;4.99482E+15;4.83448E+15;4.57178E+15;4.70116E+15;4.96167E+15;5.12176E+15;5.0541E+15;5.59802E+15;5.89605E+15;6.44222E+15;6.57039E+15;7.14458E+15;7.59425E+15;8.12384E+15;8.78701E+15;8.54086E+15;8.66134E+15;8.90495E+15;9.1579E+15;9.04446E+15;9.01711E+15;9.03642E+15;9.18706E+15;9.62788E+15;9.72341E+15;9.55503E+15;9.07317E+15;9.09157E+15;9.53676E+15;9.81328E+15
Final consumption expenditure (current US$);NE.CON.TOTL.CD;3878276753;3997584333;4140385918;4290071097;4457316038;4864040208;5321654379;5934494554;6250256491;7274984336;8245151093;10235365929;12017714495;16721326215;26720505892;35922072191;40358553558;50357034181;57365366955;65242992306;74267288017;85965816870;1.01214E+11;1.23206E+11;1.31007E+11;1.49408E+11;1.81836E+11;1.11595E+11;1.10886E+11;1.00641E+11;98255385174;null;null;42490899733;47219047950;61982334619;71945123755;72900231304;78267473289;72736499319;68669376116;80050782763;75004507712;85772891200;1.02461E+11;1.20653E+11;1.43542E+11;1.78098E+11;2.13232E+11;2.31841E+11;2.61545E+11;3.4734E+11;3.93721E+11;2.94781E+11;2.77008E+11;2.81628E+11;3.06001E+11;3.16205E+11;2.10285E+11;1.82605E+11;1.45522E+11;2.06042E+11;2.31025E+11
Households and NPISHs Final consumption expenditure (constant 2015 US$);NE.CON.PRVT.KD;18505501970;18575455723;18947815602;19175574136;18498093001;19347038530;21121083332;23359874482;23024965887;24869390032;27433382281;31476554156;33244531774;37663869100;46024449599;60510459757;60302962041;64586394430;65895692886;68135697472;65033788629;66948840330;71822334812;82193894987;86614591727;88096922311;79172004528;74326567996;74890900903;75085941687;91078616440;99241461293;1.03779E+11;1.07033E+11;1.02313E+11;96101852555;99926323890;1.08287E+11;1.11485E+11;1.1159E+11;1.23419E+11;1.30968E+11;1.45492E+11;1.47698E+11;1.60705E+11;1.72137E+11;1.8515E+11;2.08764E+11;2.01301E+11;2.05467E+11;2.14439E+11;2.23862E+11;2.19647E+11;2.1746E+11;2.18897E+11;2.18074E+11;2.27476E+11;2.31007E+11;2.27005E+11;2.16068E+11;2.17241E+11;2.25731E+11;2.3397E+11
General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;10.51714099;10.46704184;10.27778419;11.11099913;12.50286358;14.36188657;14.82949854;15.25153083;15.75821466;16.72232253;17.39388663;18.68308459;19.2261386;17.27659572;21.07823018;23.84220055;21.43250594;20.34540688;23.32209532;19.76144566;21.02873387;21.45146928;18.4845562;16.23611099;15.11263954;15.90489432;15.24498824;14.35018762;15.03398433;11.98083033;10.84637428;10.27625687;9.714635564;14.23090682;14.35351742;14.25148419;12.36812976;11.59272637;13.04910671;11.81629721;12.93211409;12.87156292;11.7171068;11.41952122;11.23630349;12.07624287;12.46592046;9.477097137;10.05271212;11.18231995;10.80454017;13.20083368;13.32790016;12.97393921;12.82012598;15.56882322;15.78069475;16.06231264;15.80691392;15.30027571;14.43166798;14.23357659;15.09541948
General government final consumption expenditure (current LCU);NE.CON.GOVT.CN;33453387976;35100324000;36541393020;41482201090;50952083225;67421443460;76273724586;87287609242;1.02934E+11;1.23417E+11;1.44622E+11;1.94338E+11;2.4982E+11;3.22285E+11;6.58671E+11;8.41481E+11;1.02882E+12;1.15738E+12;1.28193E+12;1.25888E+12;1.42028E+12;1.72527E+12;1.96613E+12;2.21451E+12;2.25383E+12;2.51425E+12;2.44014E+12;2.78672E+12;3.29253E+12;3.26264E+12;4.12016E+12;5.52713E+12;6.98106E+12;1.51037E+13;2.00564E+13;2.81282E+13;3.34468E+13;3.6707E+13;4.61348E+13;5.61245E+13;8.12227E+13;9.50317E+13;1.19938E+14;1.43672E+14;1.83942E+14;2.45137E+14;3.04444E+14;3.0775E+14;3.90822E+14;4.5931E+14;5.44096E+14;9.10329E+14;1.05233E+15;1.37978E+15;1.57107E+15;1.88443E+15;2.27382E+15;2.68826E+15;3.4E+15;4.18677E+15;5.88688E+15;9.5044E+15;1.51901E+16
Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;2.294908833;2.346642182;2.307410877;2.590356964;2.881826748;3.249524904;3.818995368;4.457991761;5.176363591;5.969054196;5.856903291;3.047012478;2.275370278;1.864705419;8.750350248;12.06919291;11.24797233;10.18983015;11.11320509;5.797247028;5.343150185;8.190380823;7.906890638;7.09708065;6.354853844;6.51241844;6.079335975;5.889107789;6.269777621;4.557980493;2.942650125;2.169707967;1.789305444;1.700361202;2.073010005;2.154165885;2.244864511;2.498874725;2.629079248;2.404551738;2.295042222;2.418179297;2.174576366;2.405040265;2.834557805;3.036654498;3.3151938;2.653982821;2.683341921;3.047705549;2.786548061;2.381634543;2.686608468;2.180771909;2.116557061;2.557090807;2.796435563;2.84433845;2.243434496;2.006136309;1.971398264;2.192534039;2.585867681
Fixed telephone subscriptions (per 100 people);IT.MLT.MAIN.P2;0.544289382;0.531417;0.531417;0.531417;0.531417;0.810798999;0.801447;0.801447;0.801447;0.801447;1.001767857;0.999514;0.999514;0.999514;0.999514;2.084793196;2.405362007;2.37982623;2.36374955;2.292271743;2.375665175;2.532455327;2.484132364;2.545358309;2.63468793;2.789814108;3.026246249;3.286859964;3.607013282;3.782361796;3.941821028;4.235902047;5.049267655;6.021042774;7.20154394;8.37302244;9.45636588;10.40878781;11.58970582;12.98363744;14.47303272;16.34285167;19.14165581;22.57504665;23.66297985;28.98012006;31.74563695;32.95795328;33.8250726;34.71900941;34.24949009;36.37129999;37.19194204;37.83961718;36.7377323;37.19117279;37.0552246;36.76694877;35.60219806;33.44899431;33.32973155;33.33216338;33.13593577
Net ODA received (% of GNI);DT.ODA.ODAT.GN.ZS;0.662826808;3.009057033;1.23562463;0.571568041;0.081848401;0.357394222;0.172233454;0.439543949;0.101037027;0.18225171;0.19908577;0.057183966;0.053423512;-0.014143321;0.019719572;0.002934436;-0.008078612;0.048526464;0.316283633;0.006402978;0.029567512;0.004773574;-0.000498486;0.027209966;0.004794208;0.006340537;0.01257368;0.052917761;0.066135913;0.075806184;0.085323366;null;null;0.220318676;0.18183469;0.194874515;0.137250364;0.176613268;0.149329446;0.141506962;0.118289939;0.090079336;0.088798532;0.085190065;0.099428083;0.044535907;0.044007253;0.029577947;0.02428618;0.022237723;0.02309367;0.016883236;0.023415545;0.026538629;0.017540692;0.027146959;0.025342273;0.028791564;0.050523105;0.071902931;0.097800562;0.084312005;null
